
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 
Info: Conformance window automatically enabled. Adding 4 lumal pel horizontally

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:15 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 19:32:47 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )       6816 bits [Y 36.2262 dB    U 43.2839 dB    V 43.4539 dB] [ET     3 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6848 bits [Y 36.1512 dB    U 43.3894 dB    V 44.2143 dB] [ET     3 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7096 bits [Y 36.2142 dB    U 43.9782 dB    V 44.5127 dB] [ET     3 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6712 bits [Y 36.0766 dB    U 43.0379 dB    V 43.6898 dB] [ET     3 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7080 bits [Y 36.1947 dB    U 43.0914 dB    V 43.9015 dB] [ET     3 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6808 bits [Y 36.1084 dB    U 42.9221 dB    V 43.5725 dB] [ET     3 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7248 bits [Y 36.3306 dB    U 42.7646 dB    V 43.9697 dB] [ET     3 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6776 bits [Y 36.0653 dB    U 43.1618 dB    V 43.9710 dB] [ET     3 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6968 bits [Y 36.0288 dB    U 42.9612 dB    V 43.7021 dB] [ET     3 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7128 bits [Y 36.0302 dB    U 43.2038 dB    V 43.7589 dB] [ET     3 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7096 bits [Y 36.0137 dB    U 42.7177 dB    V 43.8749 dB] [ET     3 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7112 bits [Y 36.0786 dB    U 42.9052 dB    V 43.5474 dB] [ET     3 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7040 bits [Y 36.0695 dB    U 42.7097 dB    V 43.4752 dB] [ET     3 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7064 bits [Y 36.0993 dB    U 43.4506 dB    V 43.6425 dB] [ET     3 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7016 bits [Y 36.1964 dB    U 43.2008 dB    V 43.5970 dB] [ET     3 ] [L0] [L1]
