
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:0 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:1 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:1) MRL:1 MIP:0 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:5 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 3(intra) 4(inter) ISPFast:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:2 RPR:0 TemporalFilter:4/0 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 20:10:01 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 34 )      84080 bits [Y 38.1947 dB    U 39.1458 dB    V 41.0686 dB] [ET    32 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       3616 bits [Y 37.5212 dB    U 39.0998 dB    V 41.0389 dB] [ET    16 ] [L0 0c] [L1]
POC    2 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       5472 bits [Y 37.4119 dB    U 39.0782 dB    V 41.0176 dB] [ET    23 ] [L0 1c 0] [L1]
POC    3 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       4352 bits [Y 37.1483 dB    U 39.0634 dB    V 40.9730 dB] [ET    23 ] [L0 2c 1 0] [L1]
POC    4 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       6304 bits [Y 37.2627 dB    U 39.0858 dB    V 40.9834 dB] [ET    29 ] [L0 3c 2 1 0] [L1]
POC    5 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       4520 bits [Y 37.1348 dB    U 39.0404 dB    V 40.9030 dB] [ET    24 ] [L0 4c 3 2 0] [L1]
POC    6 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       6240 bits [Y 37.2348 dB    U 39.0824 dB    V 40.9611 dB] [ET    29 ] [L0 5c 4 3 0] [L1]
POC    7 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       5256 bits [Y 37.1251 dB    U 39.0880 dB    V 40.9525 dB] [ET    25 ] [L0 6c 5 4 0] [L1]
POC    8 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 36 )      23440 bits [Y 38.1577 dB    U 39.1518 dB    V 41.0388 dB] [ET    71 ] [L0 7c 6 5 0] [L1]
POC    9 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       4760 bits [Y 37.5606 dB    U 39.1178 dB    V 41.0234 dB] [ET    23 ] [L0 8c 7 6 0] [L1]
POC   10 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       6904 bits [Y 37.5314 dB    U 39.1021 dB    V 41.0333 dB] [ET    31 ] [L0 9c 8 7 0] [L1]
POC   11 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       5384 bits [Y 37.2768 dB    U 39.0831 dB    V 40.9760 dB] [ET    26 ] [L0 10c 9 8 0] [L1]
POC   12 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       7840 bits [Y 37.2544 dB    U 39.0856 dB    V 40.9822 dB] [ET    34 ] [L0 11c 10 8 0] [L1]
POC   13 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       5920 bits [Y 36.8889 dB    U 39.0251 dB    V 40.9241 dB] [ET    28 ] [L0 12c 11 8 0] [L1]
POC   14 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       8520 bits [Y 37.0717 dB    U 39.0179 dB    V 40.8999 dB] [ET    33 ] [L0 13c 12 8 0] [L1]
POC   15 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       5720 bits [Y 36.8800 dB    U 38.9648 dB    V 40.8411 dB] [ET    27 ] [L0 14c 13 8 0] [L1]
POC   16 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 36 )      29944 bits [Y 38.1573 dB    U 39.0633 dB    V 41.0010 dB] [ET    77 ] [L0 15c 14 8 0] [L1]
POC   17 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       5496 bits [Y 37.3025 dB    U 39.0232 dB    V 40.9347 dB] [ET    40 ] [L0 16c 15 8 0] [L1]
POC   18 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       8456 bits [Y 37.2152 dB    U 39.0371 dB    V 40.9033 dB] [ET    55 ] [L0 17c 16 8 0] [L1]
POC   19 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       6752 bits [Y 36.8481 dB    U 38.9927 dB    V 40.8724 dB] [ET    30 ] [L0 18c 16 8 0] [L1]
POC   20 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )       9960 bits [Y 36.9567 dB    U 39.0053 dB    V 40.8439 dB] [ET    37 ] [L0 19c 16 8 0] [L1]
POC   21 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 43 )       7768 bits [Y 36.7338 dB    U 38.9651 dB    V 40.7957 dB] [ET    32 ] [L0 20c 16 8 0] [L1]
POC   22 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 42 )      10808 bits [Y 37.0298 dB    U 38.9836 dB    V 40.8083 dB] [ET    36 ] [L0 21c 16 8 0] [L1]
