
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:0 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:1 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:1) MRL:1 MIP:0 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:5 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 3(intra) 4(inter) ISPFast:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:2 RPR:0 TemporalFilter:4/0 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 20:00:21 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 51 )      10920 bits [Y 32.8449 dB    U 37.5686 dB    V 38.3338 dB] [ET     6 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        344 bits [Y 32.4091 dB    U 37.5406 dB    V 38.3247 dB] [ET     6 ] [L0 0c] [L1]
POC    2 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        520 bits [Y 32.1003 dB    U 37.5298 dB    V 38.3028 dB] [ET     6 ] [L0 1c 0] [L1]
POC    3 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        528 bits [Y 31.8240 dB    U 37.5574 dB    V 38.2627 dB] [ET     7 ] [L0 2c 1 0] [L1]
POC    4 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        704 bits [Y 31.7541 dB    U 37.5542 dB    V 38.1991 dB] [ET     7 ] [L0 3c 2 1 0] [L1]
POC    5 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        400 bits [Y 31.3450 dB    U 37.5213 dB    V 38.0879 dB] [ET     7 ] [L0 4c 3 2 0] [L1]
POC    6 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        768 bits [Y 31.4607 dB    U 37.5136 dB    V 38.0318 dB] [ET     7 ] [L0 5c 4 3 0] [L1]
POC    7 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        592 bits [Y 31.3379 dB    U 37.5551 dB    V 38.0183 dB] [ET     7 ] [L0 6c 5 4 0] [L1]
POC    8 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 53 )       2656 bits [Y 33.0697 dB    U 37.6517 dB    V 38.0845 dB] [ET    17 ] [L0 7c 6 5 0] [L1]
POC    9 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        456 bits [Y 32.3104 dB    U 37.5628 dB    V 37.9576 dB] [ET     7 ] [L0 8c 7 6 0] [L1]
POC   10 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        672 bits [Y 32.0193 dB    U 37.4426 dB    V 37.8173 dB] [ET     7 ] [L0 9c 8 7 0] [L1]
POC   11 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        392 bits [Y 31.4080 dB    U 37.4313 dB    V 37.6948 dB] [ET     7 ] [L0 10c 9 8 0] [L1]
POC   12 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        896 bits [Y 31.8023 dB    U 37.4938 dB    V 37.7626 dB] [ET     7 ] [L0 11c 10 8 0] [L1]
POC   13 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        328 bits [Y 31.2965 dB    U 37.4696 dB    V 37.7542 dB] [ET     6 ] [L0 12c 11 8 0] [L1]
