
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 
Info: Conformance window automatically enabled. Adding 4 lumal pel horizontally

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:0 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:1 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:1) MRL:1 MIP:0 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:5 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 3(intra) 4(inter) ISPFast:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:2 RPR:0 TemporalFilter:4/0 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 19:49:06 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 31 )       7536 bits [Y 36.1323 dB    U 44.1358 dB    V 44.9404 dB] [ET     3 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        312 bits [Y 35.4369 dB    U 44.1147 dB    V 44.9160 dB] [ET     0 ] [L0 0c] [L1]
POC    2 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        288 bits [Y 35.2061 dB    U 44.1273 dB    V 44.9119 dB] [ET     0 ] [L0 1c 0] [L1]
POC    3 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        384 bits [Y 35.0447 dB    U 44.0586 dB    V 44.8918 dB] [ET     1 ] [L0 2c 1 0] [L1]
POC    4 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        392 bits [Y 35.0958 dB    U 43.9357 dB    V 44.8495 dB] [ET     1 ] [L0 3c 2 1 0] [L1]
POC    5 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        400 bits [Y 34.7596 dB    U 43.7670 dB    V 44.8825 dB] [ET     1 ] [L0 4c 3 2 0] [L1]
POC    6 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        472 bits [Y 34.7734 dB    U 43.5016 dB    V 44.9576 dB] [ET     1 ] [L0 5c 4 3 0] [L1]
POC    7 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        448 bits [Y 34.4184 dB    U 43.0917 dB    V 44.7966 dB] [ET     1 ] [L0 6c 5 4 0] [L1]
POC    8 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1304 bits [Y 35.7160 dB    U 43.4149 dB    V 45.0829 dB] [ET     1 ] [L0 7c 6 5 0] [L1]
POC    9 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        448 bits [Y 35.0005 dB    U 43.2378 dB    V 44.8977 dB] [ET     1 ] [L0 8c 7 6 0] [L1]
POC   10 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        512 bits [Y 34.7633 dB    U 43.1047 dB    V 44.7604 dB] [ET     1 ] [L0 9c 8 7 0] [L1]
POC   11 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        408 bits [Y 34.3749 dB    U 43.1855 dB    V 44.6693 dB] [ET     1 ] [L0 10c 9 8 0] [L1]
POC   12 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        496 bits [Y 34.4645 dB    U 43.3563 dB    V 44.7701 dB] [ET     1 ] [L0 11c 10 8 0] [L1]
POC   13 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        408 bits [Y 34.4032 dB    U 43.4254 dB    V 44.7000 dB] [ET     1 ] [L0 12c 11 8 0] [L1]
